Staalnaam	Totaal	Indel	KI
Kirsten-B2-14	2885	20	2723
Kirsten-B2-19	3150	1568	1506
Kirsten-D2-5	1254	0	1199
Kirsten-B2-3	20	0	19
Kirsten-B1-15	116	69	43
Kirsten-B1-20	1169	168	964
Kirsten-D1-2	1159	0	1114
Kirsten-B2-9	1272	2	1224
Kirsten-D2-2	1011	1	965
Kirsten-D2-7	1099	1	1034
Kirsten-D2-20	1043	0	1001
Kirsten-B2-15	698	346	335
Kirsten-D2-19	1137	0	1086
Kirsten-B2-4	1274	621	628
Kirsten-B2-5	1448	613	795
Kirsten-D2-22	1249	0	1201
Kirsten-B1-3	1211	212	956
Kirsten-B1-1	52	10	42
Kirsten-D2-21	205	0	197
Kirsten-B2-8	1234	710	501
Kirsten-D2-8	2504	0	2374
Kirsten-B2-16	997	994	3
Kirsten-B1-4	1277	451	782
Kirsten-D2-14	4133	0	3924
Kirsten-D2-6	687	1	651
Kirsten-B2-12	2491	1500	940
Kirsten-B1-11	1126	296	793
Kirsten-D2-15	1654	0	1573
Kirsten-B1-6	1107	355	731
Kirsten-D2-4	1067	0	1013
Kirsten-D2-11	2565	2	2443
Kirsten-B1-18	1	0	1
Kirsten-D2-10	1966	0	1888
Kirsten-D1-4	1047	1	973
Kirsten-D1-10	548	0	524
Kirsten-D1-3	1106	0	1069
Kirsten-B2-7	1252	37	1167
Kirsten-D2-16	1148	0	1101
Kirsten-D2-13	2401	1	2300
Kirsten-B1-12	1198	0	1143
Kirsten-B2-1	578	0	564
Kirsten-B1-5	1109	406	686
Kirsten-D1-8	200	0	191
Kirsten-B1-14	2081	914	1109
Kirsten-B2-18	3976	1390	2473
Kirsten-B1-7	1133	114	971
Kirsten-D2-9	3215	1	3067
Kirsten-D2-17	1808	1	1706
Kirsten-B1-16	1146	622	502
Kirsten-B2-11	1228	0	1173
Kirsten-B2-6	1501	1	1415
Kirsten-D2-12	1220	0	1149
Kirsten-D1-5	1204	0	1153
Kirsten-B2-13	2301	704	1527
Kirsten-D1-7	1135	0	1083
Kirsten-D1-6	239	1	219
Kirsten-B2-17	1126	107	968
Kirsten-B2-10	1096	131	929
Kirsten-D2-1	1237	0	1186
Kirsten-B1-13	477	0	454
Kirsten-B1-17	1238	0	1174
Kirsten-B1-10	2510	3	2408
Kirsten-B1-19	798	413	373
Kirsten-D1-1	1051	1	1001
Kirsten-D2-18	1200	1	1141
