Staalnaam	Totaal	Indel	KI
Kirsten-B2-14	2885	20	0
Kirsten-B2-19	3150	1302	266
Kirsten-D2-5	1254	0	0
Kirsten-B2-3	20	0	0
Kirsten-B1-15	116	69	0
Kirsten-B1-20	1169	168	0
Kirsten-D1-2	1159	0	0
Kirsten-B2-9	1272	2	0
Kirsten-D2-2	1011	1	0
Kirsten-D2-7	1099	1	0
Kirsten-D2-20	1043	0	0
Kirsten-B2-15	698	346	0
Kirsten-D2-19	1137	0	0
Kirsten-B2-4	1274	621	0
Kirsten-B2-5	1448	613	0
Kirsten-D2-22	1249	0	0
Kirsten-B1-3	1211	212	0
Kirsten-B1-1	52	10	0
Kirsten-D2-21	205	0	0
Kirsten-B2-8	1234	710	0
Kirsten-D2-8	2504	0	0
Kirsten-B2-16	997	994	0
Kirsten-B1-4	1277	451	0
Kirsten-D2-14	4133	0	0
Kirsten-D2-6	687	1	0
Kirsten-B2-12	2491	941	559
Kirsten-B1-11	1126	296	0
Kirsten-D2-15	1654	0	0
Kirsten-B1-6	1107	355	0
Kirsten-D2-4	1067	0	0
Kirsten-D2-11	2565	2	0
Kirsten-B1-18	1	0	0
Kirsten-D2-10	1966	0	0
Kirsten-D1-4	1047	1	0
Kirsten-D1-10	548	0	0
Kirsten-D1-3	1106	0	0
Kirsten-B2-7	1252	37	0
Kirsten-D2-16	1148	0	0
Kirsten-D2-13	2401	1	0
Kirsten-B1-12	1198	0	0
Kirsten-B2-1	578	0	0
Kirsten-B1-5	1109	406	0
Kirsten-D1-8	200	0	0
Kirsten-B1-14	2081	914	0
Kirsten-B2-18	3976	1390	0
Kirsten-B1-7	1133	114	0
Kirsten-D2-9	3215	1	0
Kirsten-D2-17	1808	1	0
Kirsten-B1-16	1146	622	0
Kirsten-B2-11	1228	0	0
Kirsten-B2-6	1501	1	0
Kirsten-D2-12	1220	0	0
Kirsten-D1-5	1204	0	0
Kirsten-B2-13	2301	704	0
Kirsten-D1-7	1135	0	0
Kirsten-D1-6	239	1	0
Kirsten-B2-17	1126	107	0
Kirsten-B2-10	1096	131	0
Kirsten-D2-1	1237	0	0
Kirsten-B1-13	477	0	0
Kirsten-B1-17	1238	0	0
Kirsten-B1-10	2510	3	0
Kirsten-B1-19	798	413	0
Kirsten-D1-1	1051	1	0
Kirsten-D2-18	1200	1	0
